#{"t_start": 1786597425.619332, "env_id": "None"}
r,l,t
-110.25,200,0.841509
-53.25,200,0.929509
-82.75,200,1.005019
-129.0,200,1.080021
-77.25,200,1.15402
-117.5,200,1.239527
-76.5,200,1.314528
-68.75,200,1.390527
-104.5,200,1.465529
-48.0,200,1.540526
-68.0,200,2.447547
-62.0,200,2.530548
-53.75,200,2.609547
-82.25,155,2.668548
-38.0,200,2.743548
-47.75,200,2.819547
-70.25,200,2.895547
-35.5,200,2.970547
-54.5,109,3.012547
-18.75,200,3.089549
-55.0,200,3.165547
-31.75,200,3.80357
-11.25,200,3.88657
-12.75,200,3.966572
-25.25,200,4.042572
-19.0,200,4.118571
-70.0,200,4.194571
-25.0,200,4.273846
-50.25,200,4.349847
-68.5,200,4.425848
-16.75,200,4.501847
-50.0,173,5.169372
-31.0,200,5.247882
15.0,200,5.324881
-11.75,200,5.400881
-24.5,200,5.477881
-9.0,200,5.553881
-9.25,200,5.629881
2.75,200,5.704881
-7.75,200,5.780881
-22.75,150,5.836882
14.0,200,5.912388
13.75,200,6.584903
-23.25,200,6.669899
-5.5,200,6.749899
-11.5,200,6.8259
-27.25,92,6.860901
14.5,165,6.922899
21.0,200,6.9999
14.25,200,7.074903
-0.5,200,7.151409
54.75,200,7.227412
3.25,96,7.263795
62.0,200,7.932796
3.5,71,7.965794
54.5,200,8.051794
16.25,200,8.129795
22.5,200,8.206793
50.5,200,8.282306
26.75,137,8.334818
24.25,200,8.409818
40.25,136,8.460821
23.5,200,8.53582
25.0,200,8.611818
23.0,200,8.686818
82.25,200,9.340325
55.75,179,9.416325
78.0,200,9.497328
53.0,152,9.556839
58.25,198,9.632838
85.0,176,9.69784
72.5,163,9.759838
67.5,151,9.817838
44.0,141,9.871838
34.5,136,9.922838
95.75,200,9.999713
50.5,153,10.057712
104.0,200,10.707222
32.0,174,10.778732
65.75,200,10.862736
58.0,111,10.905737
88.0,186,10.975735
70.25,163,11.037732
54.25,120,11.082731
81.5,153,11.140731
78.75,145,11.194732
84.25,146,11.25124
63.75,127,11.298242
80.25,188,11.36924
40.75,130,11.419242
58.75,115,12.043749
81.75,181,12.124748
66.5,143,12.189746
55.0,159,12.251838
77.5,170,12.315839
42.25,138,12.36984
105.75,200,12.445838
31.5,106,12.486839
120.5,200,12.562841
65.0,154,12.620839
107.25,200,12.697839
55.75,123,12.743841
89.5,123,12.789839
28.0,120,13.427853
65.0,112,13.480853
22.75,113,13.534853
40.75,92,13.579853
75.75,190,13.665856
112.0,200,13.752857
106.25,200,13.836857
50.75,122,13.899855
95.0,180,13.979854
77.25,144,14.042856
69.75,117,14.095854
70.5,144,14.159853
102.75,173,14.236365
133.0,200,15.033835
82.5,156,15.108837
45.25,129,15.162833
113.5,200,15.259346
120.0,200,15.351346
104.0,200,15.439345
72.5,134,15.501345
88.5,200,15.592347
93.25,200,15.679857
139.75,200,15.768857
112.75,200,15.860858
77.25,166,15.932857
104.75,200,16.722371
97.0,200,16.812371
74.5,149,16.883888
71.5,154,16.949885
102.0,200,17.038885
92.0,168,17.111885
109.25,200,17.199885
99.25,162,17.270396
125.25,200,17.357395
116.0,200,17.443396
103.5,200,17.530396
128.0,200,18.331421
79.75,107,18.388422
94.75,200,18.487424
82.75,162,18.558422
90.0,200,18.647423
159.75,200,18.734421
134.25,200,18.821422
99.75,200,18.909422
91.75,154,18.978423
108.75,200,19.064422
50.25,133,19.122422
59.0,145,19.187434
134.75,195,19.975442
100.0,200,20.073442
137.5,200,20.161441
115.0,200,20.247951
140.75,200,20.335951
140.75,200,20.422951
120.25,200,20.510955
122.5,200,20.597464
139.5,200,20.684462
46.5,97,20.728461
130.0,200,21.515968
133.25,200,21.615967
150.25,200,21.715969
128.25,200,21.803477
115.0,200,21.890479
146.5,200,21.980478
74.0,200,22.069479
142.25,200,22.156477
118.75,200,22.243991
97.75,200,22.33199
119.75,200,22.418994
70.0,200,23.212502
109.5,200,23.312013
105.0,200,23.402012
110.75,200,23.493012
86.75,200,23.580012
156.75,200,23.666024
107.5,200,23.759012
134.25,200,23.847012
145.75,200,23.933013
103.0,151,23.998012
105.5,200,24.799596
129.75,200,24.900594
86.75,200,24.994594
123.75,200,25.084595
129.25,200,25.171595
149.0,200,25.259106
124.75,200,25.346108
111.0,200,25.432616
113.5,200,25.522615
106.75,164,25.596617
112.0,200,26.37213
123.75,200,26.454131
134.5,200,26.552129
92.25,200,26.639637
141.5,200,26.72664
91.0,200,26.820637
117.25,200,26.910637
133.25,200,26.997637
101.0,200,27.084638
158.0,200,27.170637
121.75,200,27.257163
124.0,200,28.047259
142.5,200,28.143261
121.25,200,28.235769
151.0,200,28.32577
67.25,200,28.414772
153.25,200,28.503771
149.25,200,28.591769
91.0,200,28.677778
